도,등급,등급_num,유통구분,유통_num,예상단가(원),모델,테스트_RMSE,실제평균단가,예측-실제평균(원),마지막판매단가,예측-마지막판매(원)
강원도,1 (보통),1,1 (생산지),1,7915,Prophet,2459.5,8108,-193,6000,1915
강원도,1 (보통),1,2 (도매지),2,11051,Prophet,3559.17,10178,873,10000,1051
강원도,1 (보통),1,3 (소비지),3,12279,Prophet,3116.14,15038,-2759,15000,-2721
강원도,2 (상),2,1 (생산지),1,10910,Prophet,2795.11,10610,300,7500,3410
강원도,2 (상),2,2 (도매지),2,12939,LSTM,3342.66,11588,1351,13500,-561
강원도,2 (상),2,3 (소비지),3,18531,LSTM,3320.43,17964,567,23000,-4469
강원도,3 (특),3,1 (생산지),1,20671,LSTM,2034.22,17338,3333,23000,-2329
강원도,3 (특),3,2 (도매지),2,24434,XGBoost,4566.39,23887,547,35000,-10566
강원도,3 (특),3,3 (소비지),3,25792,XGBoost,4566.39,29505,-3713,54000,-28208
경기도,1 (보통),1,1 (생산지),1,11091,LSTM,919.29,10154,937,10000,1091
경기도,1 (보통),1,2 (도매지),2,11087,SARIMAX,201.13,10500,587,10500,587
경기도,1 (보통),1,3 (소비지),3,10392,Prophet,1240.37,11502,-1110,12000,-1608
경기도,2 (상),2,1 (생산지),1,11288,SARIMAX,4110.58,12436,-1148,10000,1288
경기도,2 (상),2,2 (도매지),2,10478,SARIMAX,490.74,10131,347,10500,-22
경기도,2 (상),2,3 (소비지),3,15519,LSTM,2947.86,15168,351,15500,19
경기도,3 (특),3,1 (생산지),1,18113,XGBoost,4566.39,21212,-3099,15000,3113
경기도,3 (특),3,2 (도매지),2,16242,SARIMAX,518.96,15000,1242,15000,1242
경기도,3 (특),3,3 (소비지),3,29156,LSTM,2810.47,23998,5158,18500,10656
경상남도,1 (보통),1,1 (생산지),1,12324,LSTM,658.92,7069,5255,3000,9324
경상남도,1 (보통),1,2 (도매지),2,6293,Prophet,4327.0,7238,-945,3000,3293
경상남도,1 (보통),1,3 (소비지),3,9930,LSTM,2655.62,9579,351,4500,5430
경상남도,2 (상),2,1 (생산지),1,21107,LSTM,2014.48,10593,10514,5500,15607
경상남도,2 (상),2,2 (도매지),2,19264,LSTM,732.69,10427,8837,5500,13764
경상남도,2 (상),2,3 (소비지),3,15630,XGBoost,4566.39,15647,-17,8500,7130
경상남도,3 (특),3,1 (생산지),1,21202,LSTM,1330.01,13074,8128,7000,14202
경상남도,3 (특),3,2 (도매지),2,28816,LSTM,700.62,15500,13316,6000,22816
경상남도,3 (특),3,3 (소비지),3,18162,XGBoost,4566.39,20588,-2426,12000,6162
경상북도,1 (보통),1,1 (생산지),1,9463,Prophet,1677.06,8753,710,10000,-537
경상북도,1 (보통),1,2 (도매지),2,11413,LSTM,1720.63,11589,-176,10000,1413
경상북도,1 (보통),1,3 (소비지),3,12761,SARIMAX,2053.39,12643,118,16500,-3739
경상북도,2 (상),2,1 (생산지),1,11750,LSTM,2106.59,12959,-1209,15000,-3250
경상북도,2 (상),2,2 (도매지),2,13736,Prophet,3409.69,13342,394,13000,736
경상북도,2 (상),2,3 (소비지),3,14528,LSTM,1667.14,18165,-3637,20000,-5472
경상북도,3 (특),3,1 (생산지),1,16021,LSTM,2615.26,16724,-703,18000,-1979
경상북도,3 (특),3,2 (도매지),2,20435,Prophet,1252.23,20380,55,20000,435
경상북도,3 (특),3,3 (소비지),3,20385,LSTM,2098.46,22592,-2207,25000,-4615
광주광역시,1 (보통),1,3 (소비지),3,5670,SARIMAX,916.39,8200,-2530,8200,-2530
광주광역시,2 (상),2,3 (소비지),3,10200,SARIMAX,845.32,12500,-2300,12500,-2300
광주광역시,3 (특),3,3 (소비지),3,17664,LSTM,159.11,17500,164,17500,164
부산광역시,1 (보통),1,3 (소비지),3,8744,Prophet,2096.68,7273,1471,4000,4744
부산광역시,2 (상),2,3 (소비지),3,11977,Prophet,3655.86,12256,-279,6000,5977
